text,label
"Book club next Thursday. Hi, this is a confirmation of your flight itinerary. Departure is at 2:30 PM on Friday. Please arrive at the airport at least two hours early. Safe travels!
Regards,
David",ham
"Congratulations Winner. Dear Winner, you have been selected to receive $750 in cash. Click the link below within 24 hours to claim your reward before it expires. Act now, this offer will not last!
Act fast, offer expires soon! http://free-cash-now.net",spam
"Limited time offer - act now. Single people in your area want to meet you tonight! Sign up free now and start chatting, no credit card required for the first $500 of credits!
Verify now: http://secure-login-update.com",spam
"Your order has shipped. Hi team, quick reminder that our standup is at 4:00 PM today. Please come prepared with updates on your current tasks. See everyone then.
Regards,
David",ham
"Project update - Q3 report. Hey Sam, happy birthday! Hope you have an amazing day. Let's grab lunch sometime this week to celebrate properly.",ham
"Work from home and earn big. URGENT ACTION REQUIRED: We detected unusual activity on your account. Verify your identity now by clicking the secure link or your account will be permanently suspended within 24 hours.
Verify now: http://secure-login-update.com",spam
"Lowest price on medication guaranteed. Hello, this is your final notice. You owe $5,000 on an unpaid invoice. Pay immediately using the link below to avoid legal action and extra fees.
Do not reply to this email. Visit http://winners-portal.info to proceed.",spam
"Family dinner this Sunday. Hi team, quick reminder that our standup is at 2:30 PM today. Please come prepared with updates on your current tasks. See everyone then.
Regards,
David",ham
"Question about the assignment. Hey, sharing the photos from our trip last week, they turned out great! Let me know which ones you'd like printed for the album.
Cheers,
Emma",ham
"Flight itinerary confirmation. Hey, here are the notes from today's lecture. I also attached the slides in case you missed anything. Let me know if you have questions before the exam.
Thanks,
John",ham
"Work from home and earn big. Your account has been locked due to suspicious login attempts. Click the link below and enter your username and password to restore full access immediately or your account will be deleted.
Verify now: http://secure-login-update.com",spam
"Book club next Thursday. Hi Liam, thank you for your recent purchase. Your receipt is attached for your records. Reach out if you have any questions about your order.
Regards,
David",ham
"Photos from the trip. Hello Fatima, this is to confirm your interview scheduled for Friday afternoon. The interview will be conducted over video call, link attached. Good luck!
Talk soon,
Lisa",ham
"Claim your free reward now. Dear Customer, we could not deliver your package. Pay a small redelivery fee of $500 by clicking the link below within 24 hours or the item will be returned to sender.
Act fast, offer expires soon! http://free-cash-now.net",spam
"Your order has shipped. Hey, here's the draft document for your review. Let me know your thoughts and any edits before 6:00 PM. Appreciate the feedback as always.
Cheers,
Emma",ham
"You've been selected for a cash prize. Your account has been locked due to suspicious login attempts. Click the link below and enter your username and password to restore full access immediately or your account will be deleted.
Click here to claim now: http://bit.ly/claim-reward",spam
"Feedback on the proposal. Hi Priya, thank you for your recent purchase. Your receipt is attached for your records. Reach out if you have any questions about your order.
Best,
Sarah",ham
"Lunch this weekend?. This is a scheduled maintenance notice. Our servers will be down for updates on 10:15 AM. We apologize for any inconvenience this may cause.
Talk soon,
Lisa",ham
"Server maintenance notice. Hi Priya, are we still on for family dinner this Sunday at 4:00 PM? Mom is making her famous lasagna, would be great to see you.
Best,
Sarah",ham
"Feedback on the proposal. Hey Aisha, happy birthday! Hope you have an amazing day. Let's grab lunch sometime this week to celebrate properly.
Thanks,
John",ham
"Work from home and earn big. Hot deal alert! Get $50,000 off your next purchase, plus a free bonus gift. Click below, enter your card details and checkout now before this flash sale ends tonight!
Call now: 1-800-555-0199 or click http://money-fast.biz",spam
"Thank you for your purchase. Hey, here's the draft document for your review. Let me know your thoughts and any edits before 12:00 PM. Appreciate the feedback as always.
Best,
Sarah",ham
"Feedback on the proposal. Hi team, quick reminder that our standup is at 12:00 PM today. Please come prepared with updates on your current tasks. See everyone then.
Regards,
David",ham
"Interview confirmation. Hi Ravi, are we still on for family dinner this Sunday at 4:00 PM? Mom is making her famous lasagna, would be great to see you.
See you then,
Mike",ham
"Your order has shipped. Hi everyone, our book club meets this Thursday at 6:00 PM to discuss the first half of the novel. Looking forward to the discussion.
Cheers,
Emma",ham
"Draft for review. Hello Priya, this is to confirm your interview scheduled for Monday morning. The interview will be conducted over video call, link attached. Good luck!
Best,
Sarah",ham
"Invoice #4521 for your records. Hi everyone, our book club meets this Thursday at 2:30 PM to discuss the first half of the novel. Looking forward to the discussion.",ham
"Thank you for your purchase. Hi Maria, thank you for your recent purchase. Your receipt is attached for your records. Reach out if you have any questions about your order.
Best,
Sarah",ham
"Verify your bank account immediately. Buy cheap medication online, no prescription needed! Huge discounts up to 90% off. Fast, discreet shipping worldwide. Order now and save big, limited stock available!!!
Do not reply to this email. Visit http://winners-portal.info to proceed.",spam
"Your Amazon order needs verification. CONGRATULATIONS!!! You are today's lucky visitor. You've won a brand new iPhone and $2,500 cash. Claim your free gift now by clicking the link, offer expires in 10 minutes!
Act fast, offer expires soon! http://free-cash-now.net",spam
"Reminder: Dentist appointment. Hi Fatima, are we still on for family dinner this Sunday at 3:45 PM? Mom is making her famous lasagna, would be great to see you.
Cheers,
Emma",ham
"Meeting reschedule for tomorrow. Hey Alex, happy birthday! Hope you have an amazing day. Let's grab lunch sometime this week to celebrate properly.
Cheers,
Emma",ham
"Lowest price on medication guaranteed. Your subscription payment of $750 failed. Update your billing information immediately by clicking the secure link below to avoid service interruption.
Click here to claim now: http://bit.ly/claim-reward",spam
"Draft for review. Hi, thanks for submitting your proposal. Overall it looks solid, I've left a few comments in the shared doc. Let's discuss during our call on 4:00 PM.
Regards,
David",ham
"Notes from today's class. Hey, here are the notes from today's lecture. I also attached the slides in case you missed anything. Let me know if you have questions before the exam.
Cheers,
Emma",ham
"Make $5000 a week from home. Invest just $500 in our crypto program today and watch it double in 48 hours guaranteed! Thousands are already earning passive income, don't miss out, click now to join!
Act fast, offer expires soon! http://free-cash-now.net",spam
"Work from home and earn big. Single people in your area want to meet you tonight! Sign up free now and start chatting, no credit card required for the first $999 of credits!
Call now: 1-800-555-0199 or click http://money-fast.biz",spam
"Free gift card waiting for you. Congratulations! Your email address has won our $1,000,000 lottery draw. To release your funds, send your full name, address and bank details to our claims department immediately.
Act fast, offer expires soon! http://free-cash-now.net",spam
"Thank you for your purchase. Hey, here are the notes from today's lecture. I also attached the slides in case you missed anything. Let me know if you have questions before the exam.
See you then,
Mike",ham
"Your order has shipped. Hey Priya, happy birthday! Hope you have an amazing day. Let's grab lunch sometime this week to celebrate properly.
Cheers,
Emma",ham
"Meeting reschedule for tomorrow. Hey, here are the notes from today's lecture. I also attached the slides in case you missed anything. Let me know if you have questions before the exam.
See you then,
Mike",ham
"Final notice: unpaid invoice. This is not a scam! Real people are earning $10,000 a month from their phone. Click the link, register with your email and bank info, and start cashing out today.
Call now: 1-800-555-0199 or click http://money-fast.biz",spam
"Claim your free reward now. Hello, this is your final notice. You owe $999 on an unpaid invoice. Pay immediately using the link below to avoid legal action and extra fees.
Do not reply to this email. Visit http://winners-portal.info to proceed.",spam
"Your Amazon order needs verification. Hot deal alert! Get $1,000,000 off your next purchase, plus a free bonus gift. Click below, enter your card details and checkout now before this flash sale ends tonight!
Call now: 1-800-555-0199 or click http://money-fast.biz",spam
"Verify your bank account immediately. Buy cheap medication online, no prescription needed! Huge discounts up to 90% off. Fast, discreet shipping worldwide. Order now and save big, limited stock available!!!
Click here to claim now: http://bit.ly/claim-reward",spam
